"","q4r1","q4r2","q4r3","q4r4","q4r5","q4r6","q4r7","q4r8","q4r9","q4r10","q4r11","TechAttitudeMean","TechUseSocialMean","ShoppingAttitudeMean","SocialWebMean","RadioWebMean","VideoWebMean","LeaderMean","Income","Clusters"
"1853",1,0,0,0,0,1,0,0,0,0,0,2.8,2.25,3.18181818181818,2.5,3.75,3.25,2,5,"1"
"1097",0,0,0,0,1,1,0,1,0,0,0,3,1.75,3.09090909090909,3,3.5,2.5,2,10,"2"
"65",0,0,0,0,0,1,1,1,0,0,0,4,2.75,3.36363636363636,3.25,2.75,3.25,2.58333333333333,12,"3"
"1762",1,0,0,0,1,1,0,0,0,0,0,3,3.5,3,4,3.25,3.25,2.83333333333333,5,"3"
"1016",1,1,0,1,1,1,1,1,0,0,0,2,3,3.54545454545455,2.5,3.5,2.25,1.75,7,"2"
"1511",1,0,1,0,1,0,0,1,0,0,0,3,2.25,3.18181818181818,4,3.5,3,2.41666666666667,2,"1"
"1404",1,0,0,0,1,1,0,0,1,0,0,2.4,2.75,3.54545454545455,2.5,4,3.25,2.25,2,"1"
"1027",0,0,0,0,1,1,1,0,0,0,0,2.8,2.5,2.63636363636364,2.25,2.5,3.25,2.25,9,"2"
"729",0,0,1,0,0,1,0,0,0,0,0,3,3.5,4.63636363636364,2.75,2,2.5,2.75,7,"2"
"751",1,1,1,1,0,0,1,0,0,0,0,2.8,2.5,1.45454545454545,2,1.25,1.25,2.33333333333333,5,"4"
"121",0,0,0,0,0,0,0,0,0,1,0,2.8,4.75,3.54545454545455,2.75,3.5,3.5,3,6,"3"
"628",1,0,0,0,1,1,0,0,0,0,0,3,2.25,3,3.25,3.25,2.75,2.08333333333333,7,"1"
"2117",1,1,1,1,1,1,1,1,1,0,0,1.4,2,1.81818181818182,1.25,1.75,1.25,1.5,12,"4"
"1317",1,1,0,0,1,1,0,0,1,0,0,3.2,2.5,3.45454545454545,3.25,3.25,3.25,2.5,11,"3"
"1349",1,0,0,0,1,1,1,1,1,0,0,3.2,3,2.90909090909091,2,2.5,2.75,2.5,5,"1"
"277",0,0,1,1,1,1,1,1,0,0,0,2.8,3,3.72727272727273,2.25,3.75,2.75,2.08333333333333,13,"2"
"1891",1,0,1,0,1,1,1,0,1,0,0,1,1,1.81818181818182,2.75,2.5,2.5,0.833333333333333,10,"4"
"2139",1,1,1,1,1,1,0,1,1,0,0,2.8,3,2.54545454545455,2,2.75,2,2.16666666666667,8,"2"
"1112",0,0,1,1,1,1,0,0,0,0,0,1.4,2.25,2.27272727272727,2.75,4,3.25,1.66666666666667,8,"1"
"1861",1,1,0,0,1,1,1,1,1,0,0,2.8,2.75,2.63636363636364,3.25,3.25,2.5,2.5,7,"1"
"908",1,0,1,0,1,0,0,0,0,0,0,1,1.25,3.09090909090909,3.25,2.5,3.25,0.916666666666667,5,"4"
"1345",1,1,1,1,1,1,1,1,1,1,0,3.4,3,3.09090909090909,3.25,2.5,2.75,2.58333333333333,12,"3"
"2030",1,0,0,0,0,0,0,0,0,0,0,4.2,2.5,3.81818181818182,4,2.75,3.25,3.66666666666667,9,"3"
"1449",1,0,1,0,0,1,1,1,1,0,0,2.8,2.5,3.81818181818182,2,3.5,2.5,2.16666666666667,11,"2"
"2310",1,0,0,1,1,1,1,1,1,0,0,1.8,2.5,2.18181818181818,1.75,2.5,2.25,2.08333333333333,14,"4"
"420",0,0,0,1,1,0,0,1,0,0,0,2.6,4,4,3.25,3.25,3.25,2.66666666666667,1,"3"
"431",1,0,1,0,1,1,0,1,0,1,0,1,1,1,2.5,2.75,2.75,0.833333333333333,5,"4"
"550",0,0,0,0,0,0,0,0,0,0,1,2.2,4,4.27272727272727,3.25,4,3.5,2.83333333333333,5,"3"
"2146",1,0,0,0,1,1,1,1,0,0,0,2.6,3,2.09090909090909,2.75,3.5,3.5,2.5,4,"1"
"256",0,0,0,0,1,1,0,1,1,0,0,2,2.25,3.54545454545455,3,4,3.25,1.5,5,"1"
"2329",1,0,0,0,1,1,1,0,0,0,0,2.4,2,2.27272727272727,2.25,3.5,2,2.25,9,"2"
"1833",1,0,0,0,1,1,0,1,0,0,0,2.8,1.5,2.27272727272727,2.5,4,2.5,1.83333333333333,9,"1"
"720",1,0,1,0,1,1,1,1,0,0,0,2.2,2.75,2.09090909090909,3,3.25,2,2,5,"1"
"1230",0,0,0,0,0,1,1,0,0,1,0,2,3,2.81818181818182,3.25,3.25,2.75,1.91666666666667,9,"2"
"139",0,0,0,0,0,1,1,0,0,0,0,1,3.5,2.81818181818182,1.5,3.25,1.75,1.83333333333333,1,"2"
